model_name,batch_size,input_length,weight_bytes_mb,param_count_m,profiler_flops,profiler_cuda_time_ms,profiler_mem_alloc_mb,profiler_bw_proxy_GBs
gpt2,1,256,474.7,124.4,78362790305,393.92,1769.26,4.71
gpt2,8,256,474.7,124.4,626902321740,755.6,14379.64,19.96
gpt2,32,256,474.7,124.4,2507609286660,1990.47,57344.24,30.21
gpt2-large,1,256,2952.7,774.0,486032249825,1716.41,8625.43,5.27
gpt2-large,8,256,2952.7,774.0,3888257997900,3325.56,69421.79,21.89
gpt2-large,32,256,2952.7,774.0,15553031991300,10695.07,277450.15,27.2
gpt-neo-125m,1,256,477.6,125.2,78362776536,397.47,1723.09,4.55
gpt-neo-125m,8,256,477.6,125.2,626902209796,918.49,14034.88,16.02
gpt-neo-125m,32,256,477.6,125.2,2507608838116,2752.61,55913.66,21.3
