model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt-neo-125m,compile,False,True,1,512,50,0.474,0.4737,0.4773,0.00161,0.752,9.48,105.49,29,1047,12288,477.6,52.83,0.5
gpt-neo-125m,compile,False,True,2,32,50,0.4518,0.4517,0.4542,0.00159,0.745,9.037,221.32,29,1047,12288,477.6,55.42,1.0
gpt-neo-125m,compile,False,True,2,128,50,0.4572,0.4567,0.4595,0.00183,0.857,9.145,218.7,31,1067,12288,477.6,54.76,1.0
gpt-neo-125m,compile,False,True,2,512,50,0.4945,0.4939,0.4971,0.00237,1.107,9.891,202.21,36,1265,12288,477.6,50.63,1.0
gpt-neo-125m,compile,False,True,4,32,50,0.4543,0.4538,0.4567,0.00286,1.34,9.085,440.28,31,1265,12288,477.6,55.12,2.0
gpt-neo-125m,compile,False,True,4,128,50,0.4644,0.4639,0.4668,0.00168,0.788,9.287,430.7,31,1265,12288,477.6,53.92,2.0
gpt-neo-125m,compile,False,True,4,512,50,0.5693,0.5575,0.6175,0.04407,20.623,11.387,351.29,44,1659,12288,477.6,43.98,2.0
gpt-neo-125m,compile,False,True,8,32,50,0.4648,0.4646,0.4671,0.00183,0.859,9.295,860.66,37,1659,12288,477.6,53.88,4.0
gpt-neo-125m,compile,False,True,8,128,50,0.498,0.4974,0.5009,0.00215,1.005,9.959,803.27,48,1659,12288,477.6,50.28,4.0
gpt-neo-125m,compile,False,True,8,512,50,0.7406,0.7409,0.757,0.00979,4.583,14.812,540.09,62,2445,12288,477.6,33.81,4.0
gpt-neo-125m,compile,False,True,16,32,50,0.4713,0.471,0.4734,0.00126,0.589,9.426,1697.36,50,2445,12288,477.6,53.13,8.0
gpt-neo-125m,compile,False,True,16,128,50,0.5662,0.5691,0.5742,0.00678,3.172,11.325,1412.85,61,2445,12288,477.6,44.22,8.0
gpt-neo-125m,compile,False,True,16,512,50,1.1239,1.1244,1.1364,0.00965,4.518,22.477,711.83,76,4017,12288,477.6,22.28,8.0
gpt-neo-125m,compile,False,True,32,32,50,0.5127,0.5124,0.5192,0.00503,2.352,10.253,3120.95,73,4017,12288,477.6,48.84,16.0
gpt-neo-125m,compile,False,True,32,128,50,0.7527,0.7481,0.8225,0.0307,14.366,15.053,2125.8,80,4017,12288,477.6,33.27,16.0
gpt-neo-125m,compile,False,True,32,512,50,1.9244,1.9276,1.9754,0.03812,17.841,38.488,831.43,93,7159,12288,477.6,13.01,16.0
gpt-neo-125m,fp16+compile,True,True,1,32,50,0.4878,0.4869,0.4916,0.00228,1.066,9.757,102.49,26,603,12288,238.8,25.66,1.0
gpt-neo-125m,fp16+compile,True,True,1,128,50,0.4876,0.4885,0.5002,0.00893,4.179,9.752,102.54,27,627,12288,238.8,25.68,1.0
gpt-neo-125m,fp16+compile,True,True,1,512,50,0.5052,0.5051,0.5081,0.00151,0.705,10.103,98.98,28,723,12288,238.8,24.78,1.0
gpt-neo-125m,fp16+compile,True,True,2,32,50,0.5329,0.5328,0.5343,0.0008,0.375,10.659,187.64,36,723,12288,238.8,23.49,2.0
gpt-neo-125m,fp16+compile,True,True,2,128,50,0.5371,0.5351,0.5391,0.00952,4.458,10.743,186.17,37,723,12288,238.8,23.31,2.0
gpt-neo-125m,fp16+compile,True,True,2,512,50,0.5719,0.572,0.5753,0.00257,1.201,11.437,174.87,44,847,12288,238.8,21.89,2.0
gpt-neo-125m,fp16+compile,True,True,4,32,50,0.5378,0.5364,0.5452,0.00345,1.615,10.755,371.91,37,847,12288,238.8,23.28,4.0
gpt-neo-125m,fp16+compile,True,True,4,128,50,0.546,0.5451,0.55,0.0021,0.981,10.92,366.31,38,851,12288,238.8,22.93,4.0
gpt-neo-125m,fp16+compile,True,True,4,512,50,0.6211,0.6172,0.6362,0.00815,3.813,12.421,322.03,54,1097,12288,238.8,20.16,4.0
gpt-neo-125m,fp16+compile,True,True,8,32,50,0.5193,0.518,0.5246,0.00307,1.438,10.387,770.19,39,1097,12288,238.8,24.11,8.0
gpt-neo-125m,fp16+compile,True,True,8,128,50,0.5543,0.5523,0.5697,0.00606,2.838,11.087,721.59,45,1097,12288,238.8,22.59,8.0
gpt-neo-125m,fp16+compile,True,True,8,512,50,0.7672,0.7646,0.7803,0.00858,4.015,15.345,521.34,59,1491,12288,238.8,16.32,8.0
gpt-neo-125m,fp16+compile,True,True,16,32,50,0.5372,0.5374,0.5408,0.00314,1.47,10.744,1489.24,44,1491,12288,238.8,23.31,16.0
gpt-neo-125m,fp16+compile,True,True,16,128,50,0.605,0.6041,0.6144,0.00643,3.008,12.1,1322.28,53,1491,12288,238.8,20.69,16.0
gpt-neo-125m,fp16+compile,True,True,16,512,50,1.0801,1.0769,1.1018,0.01516,7.096,21.601,740.69,67,2469,12288,238.8,11.59,16.0
gpt-neo-125m,fp16+compile,True,True,32,32,50,0.5199,0.5193,0.5241,0.00305,1.426,10.398,3077.59,52,2469,12288,238.8,24.08,32.0
gpt-neo-125m,fp16+compile,True,True,32,128,50,0.7169,0.7169,0.7229,0.00585,2.738,14.338,2231.89,62,2469,12288,238.8,17.46,32.0
gpt-neo-125m,fp16+compile,True,True,32,512,50,1.6778,1.6749,1.701,0.02275,10.647,33.557,953.61,82,4041,12288,238.8,7.46,32.0
