model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2,compile,False,True,1,128,50,0.4391,0.4383,0.4458,0.00428,2.005,8.781,113.88,34,885,12288,474.7,56.68,0.5
gpt2,compile,False,True,1,512,50,0.4493,0.4494,0.4541,0.00331,1.55,8.986,111.29,35,1057,12288,474.7,55.4,0.5
gpt2,compile,False,True,2,32,50,0.4539,0.4538,0.464,0.00633,2.961,9.078,220.32,32,1057,12288,474.7,54.83,1.0
gpt2,compile,False,True,2,128,50,0.5621,0.5897,0.5987,0.05203,24.352,11.243,177.89,33,1073,12288,474.7,44.27,1.0
gpt2,compile,False,True,2,512,50,0.4942,0.4917,0.5034,0.0048,2.246,9.884,202.34,41,1271,12288,474.7,50.36,1.0
gpt2,compile,False,True,4,32,50,0.4657,0.466,0.4694,0.00388,1.815,9.314,429.45,34,1273,12288,474.7,53.44,2.0
gpt2,compile,False,True,4,128,50,0.4765,0.4777,0.4827,0.00471,2.205,9.53,419.72,35,1273,12288,474.7,52.23,2.0
gpt2,compile,False,True,4,512,50,0.5574,0.5564,0.568,0.00657,3.073,11.149,358.79,53,1715,12288,474.7,44.65,2.0
gpt2,compile,False,True,8,32,50,0.4703,0.4701,0.4791,0.0136,6.366,9.407,850.44,36,1715,12288,474.7,52.91,4.0
gpt2,compile,False,True,8,128,50,0.5134,0.5048,0.5403,0.01598,7.477,10.268,779.16,43,1715,12288,474.7,48.48,4.0
gpt2,compile,False,True,8,512,50,0.6531,0.6511,0.6669,0.00966,4.523,13.061,612.51,68,2501,12288,474.7,38.11,4.0
gpt2,compile,False,True,16,32,50,0.4834,0.4834,0.4878,0.00237,1.11,9.668,1654.91,47,2501,12288,474.7,51.48,8.0
gpt2,compile,False,True,16,128,50,0.5471,0.545,0.556,0.00536,2.511,10.942,1462.2,62,2501,12288,474.7,45.49,8.0
gpt2,compile,False,True,16,512,50,0.9668,0.9723,0.9786,0.01322,6.187,19.336,827.49,96,4073,12288,474.7,25.74,8.0
gpt2,compile,False,True,32,32,50,0.5149,0.5142,0.5247,0.00618,2.892,10.299,3107.19,47,4073,12288,474.7,48.33,16.0
